,Unnamed: 0,einID,einStichtag,einRPOM,einEOM,strkey,Hausnummer_Zusatz,PLZ,einKLRG,Schulbezirk,einGebID,einWohnsitzart,Geschlecht,Religion,Staatange#1,Staatange#2,ADA,einGeburtstag,einAlter,einAlter_Monate,einZuzugsdatum,einZuzugsalter,einFamiliebestand,einPartner_geschlecht,einPartner_Staatangehörigkeit,einEhestaat
142844,142844,21097,2025-06-30,0,0,773,18,67067,42142221,320,0,20,1,oa,0,,1,1987-02-27,38,462,2025-01-01,0,2,2,998,9
16797,16797,70761,2025-06-30,0,0,10,19,67071,31440221,430,0,40,1,so,444,,3,1970-12-15,54,657,2006-09-12,19,2,2,0,2
63574,63574,131840,2025-06-30,0,0,275,155,67071,35111031,440,0,40,1,ev,0,,1,1967-09-29,57,695,2015-09-10,10,2,2,0,1
29401,29401,140570,2025-06-30,0,0,1181,5,67061,12330721,130,0,40,2,oa,0,,1,2020-02-10,5,67,2020-02-10,5,1,9,998,9
118473,118473,136988,2025-06-30,0,0,629,89,67069,21220213,510,0,40,1,rk,130,,3,1993-07-29,32,385,2018-05-01,7,1,9,998,9
78465,78465,75716,2025-06-30,0,0,368,26,67061,12130313,210,0,40,2,oa,0,,1,1947-07-11,78,938,2025-01-01,0,3,9,998,9
180409,180409,96694,2025-06-30,0,0,991,43,67063,15260311,610,0,40,2,ev,0,,1,2004-02-16,21,259,2004-02-16,21,1,9,998,9
55662,55662,109033,2025-06-30,0,0,226,61,67067,41150614,310,0,40,2,ev,0,,1,2012-10-28,12,154,2012-10-28,12,1,9,998,9
128808,128808,55800,2025-06-30,0,0,696,130,67063,15160233,620,0,40,1,rk,0,137.0,2,2013-09-01,12,144,2013-09-01,12,1,9,998,9
41817,41817,135706,2025-06-30,0,0,166,22,67067,42130631,320,0,40,2,so,0,436.0,2,1995-05-06,30,364,2019-03-12,6,2,1,436,2
141162,141162,29790,2025-06-30,0,0,758,79,67061,51360221,220,0,40,2,rk,137,,3,1964-03-23,61,737,1970-01-06,55,2,1,998,9
82932,82932,4712,2025-06-30,0,0,397,38,67067,41120341,310,0,40,2,rk,152,,3,1952-08-03,73,877,2008-03-13,17,2,9,998,9
169749,169749,172044,2025-06-30,0,0,924,85F,67061,12110413,210,0,40,1,rk,0,,1,1999-09-25,25,311,2023-10-01,1,1,9,998,9
79745,79745,44406,2025-06-30,0,0,373,20,67069,21130631,510,0,40,1,ev,0,,1,1934-09-16,91,1092,1934-09-16,91,3,9,998,9
70411,70411,131372,2025-06-30,0,0,317,86,67059,14170312,730,0,40,1,so,125,,3,1999-05-06,26,316,2015-09-13,10,2,2,125,3
173839,173839,25164,2025-06-30,0,0,950,77,67067,41311021,240,0,20,1,ev,0,,1,1986-11-09,38,466,1986-11-09,38,2,2,998,9
112803,112803,54532,2025-06-30,0,0,59,13,67071,31130911,410,0,40,1,oa,0,,1,1955-10-02,69,839,1998-01-06,27,3,9,998,9
121906,121906,172235,2025-06-30,0,0,659,60,67063,15220531,610,0,40,1,oa,0,,1,2023-11-25,1,21,2025-06-01,0,1,9,998,9
54703,54703,77767,2025-06-30,0,0,224,47,67063,13120321,710,0,40,1,rk,0,152.0,2,1952-01-04,73,884,1987-02-09,38,2,2,0,1
80600,80600,181572,2025-06-30,0,0,384,5,67069,22161222,520,0,40,2,rk,150,,3,1998-08-29,27,324,2024-11-21,0,2,1,0,2
160,160,176026,2025-06-30,0,0,1002,17,67063,15130911,620,0,20,1,oa,224,,3,2009-10-28,15,190,2024-10-14,0,1,9,998,9
57450,57450,2914,2025-06-30,0,0,242,21,67069,23430911,530,0,40,2,oa,0,,1,1936-10-24,88,1066,1970-10-07,54,3,9,998,9
