,Unnamed: 0,einID,einStichtag,einRPOM,einEOM,strkey,Hausnummer_Zusatz,PLZ,einKLRG,Schulbezirk,einGebID,einWohnsitzart,Geschlecht,Religion,Staatange#1,Staatange#2,ADA,einGeburtstag,einAlter,einAlter_Monate,einZuzugsdatum,einZuzugsalter,einFamiliebestand,einPartner_geschlecht,einPartner_Staatangehörigkeit,einEhestaat
61704,61704,105481,2025-06-30,0,0,261,8K,67067,41241411,330,0,40,2,oa,0,,1,2010-12-09,14,177,2010-12-09,14,1,9,998,9
38316,38316,167295,2025-06-30,0,0,146,18,67061,12220111,120,0,40,2,oa,125,,3,2008-12-31,16,200,2023-11-30,1,1,9,998,9
164212,164212,117194,2025-06-30,0,0,896,80,67063,13260631,720,0,40,2,oa,0,451.0,2,1970-09-25,54,659,2016-02-17,9,2,1,0,1
53710,53710,60091,2025-06-30,0,0,219,5,67059,11160421,110,0,40,1,ev,0,,1,1961-12-06,63,765,1991-04-30,34,2,2,0,1
90652,90652,114568,2025-06-30,0,0,445,6B,67071,31151331,410,0,40,1,ev,0,,1,1981-05-24,44,531,2016-08-01,9,2,2,0,1
92572,92572,162557,2025-06-30,0,0,460,12,67067,52130241,230,0,40,1,oa,163,,3,2010-12-20,14,176,2022-12-13,2,1,9,998,9
5362,5362,115096,2025-06-30,0,0,1020,31,67065,51120211,210,0,40,1,rk,130,,3,1986-04-16,39,473,2020-11-02,4,2,2,130,3
131929,131929,31802,2025-06-30,0,0,712,181,67067,52161711,230,0,40,1,oa,0,,1,1966-07-24,59,709,2007-06-01,18,4,9,998,9
149301,149301,16861,2025-06-30,0,0,808,27,67071,31942231,420,0,40,2,oa,0,,1,1956-10-24,68,826,1990-08-23,35,2,1,0,1
39669,39669,119141,2025-06-30,0,0,149,25,67063,13160221,710,0,40,1,rk,137,,3,1965-06-26,60,722,2017-02-10,8,4,9,998,9
56145,56145,124624,2025-06-30,0,0,232,10,67071,35192311,440,0,40,1,rk,0,,1,2017-06-28,8,98,2017-06-28,8,1,9,998,9
173178,173178,94226,2025-06-30,0,0,948,49,67071,31320511,420,0,40,2,oa,144,,3,1982-08-14,43,517,2003-07-29,22,2,1,144,3
119602,119602,95060,2025-06-30,0,0,63,10,67069,23420421,530,0,40,1,ev,0,,1,1976-12-31,48,584,2014-02-15,11,2,2,0,1
5089,5089,125937,2025-06-30,0,0,101,1,67065,41440111,240,0,40,1,oa,0,,1,1982-03-14,43,522,2017-06-01,8,2,2,0,1
2168,2168,175101,2025-06-30,0,0,100,77,67059,11220311,110,0,40,2,oa,0,163.0,2,2023-10-03,1,23,2023-10-03,1,1,9,998,9
59124,59124,154721,2025-06-30,0,0,250,28,67063,15260432,610,0,40,1,ev,0,,1,2022-10-28,2,34,2022-10-28,2,1,9,998,9
80381,80381,21131,2025-06-30,0,0,382,19,67067,41221411,330,0,40,2,oa,0,137.0,2,1963-06-20,62,746,1994-10-24,30,2,1,0,1
137613,137613,68962,2025-06-30,0,0,748,11,67067,42111311,320,0,40,2,rk,0,,1,1980-08-30,45,540,2009-06-15,16,1,9,998,9
109413,109413,109599,2025-06-30,0,0,579,17,67065,41320212,240,0,40,2,oa,0,163.0,2,2011-09-06,14,168,2011-09-06,14,1,9,998,9
26999,26999,114135,2025-06-30,0,0,1158,4,67061,11110211,110,0,40,1,so,0,252.0,2,1991-08-02,34,409,2015-01-25,10,4,9,998,9
135162,135162,94870,2025-06-30,0,0,727,23A,67065,51330811,220,0,40,1,rk,0,,1,2003-11-05,21,262,2003-11-05,21,1,9,998,9
59118,59118,131905,2025-06-30,0,0,250,28,67063,15260432,610,0,40,1,rk,0,130.0,2,2016-01-01,9,116,2020-04-01,5,1,9,998,9
158190,158190,136688,2025-06-30,0,0,85,20,67063,15220321,610,0,40,1,oa,144,,3,2018-06-20,7,86,2018-06-20,7,1,9,998,9
103486,103486,176143,2025-06-30,0,0,546,69,67059,11220512,110,0,40,2,oa,475,,3,2023-12-17,1,21,2023-12-17,1,1,9,998,9
71881,71881,107830,2025-06-30,0,0,336,3,67061,12330521,130,0,40,1,ev,0,154.0,2,2011-10-04,13,167,2011-10-04,13,1,9,998,9
146320,146320,163787,2025-06-30,0,0,791,28,67069,22150921,520,0,40,1,rk,154,,3,1991-08-20,34,408,2022-03-16,3,5,9,998,9
151781,151781,77794,2025-06-30,0,0,830,10,67065,51310211,220,0,40,2,oa,0,,1,1960-08-18,65,780,1977-02-08,48,4,9,998,9
95618,95618,23746,2025-06-30,0,0,475,49A,67063,15270521,610,0,40,1,rk,137,,3,1991-09-13,34,408,2021-04-01,4,2,2,0,2
63640,63640,29096,2025-06-30,0,0,275,23,67071,35111121,440,0,20,1,rk,0,,1,1987-11-08,37,454,1990-02-22,35,2,2,998,9
27729,27729,109704,2025-06-30,0,0,1168,33,67071,31420921,420,0,40,1,ev,0,130.0,2,2011-03-06,14,174,2011-03-06,14,1,9,998,9
116053,116053,140593,2025-06-30,0,0,612,7,67069,22140111,520,0,40,1,oa,0,,1,2020-03-23,5,65,2020-03-23,5,1,9,998,9
132353,132353,134388,2025-06-30,0,0,714,16,67063,13130331,710,0,40,2,oa,0,,1,1972-06-16,53,639,2018-08-10,7,2,2,0,1
151527,151527,29878,2025-06-30,0,0,828,17,67071,35111261,440,0,40,1,oa,0,,1,1965-02-05,60,727,1998-09-05,27,2,2,0,1
131415,131415,154637,2025-06-30,0,0,707,88,67071,31950811,420,0,40,1,oa,475,,3,1975-03-23,50,605,2024-11-12,0,5,9,998,9
161778,161778,105063,2025-06-30,0,0,883,43,67061,12130931,210,0,40,1,rk,137,,3,1956-09-28,68,827,2010-09-01,15,2,2,137,3
24359,24359,164079,2025-06-30,0,0,1144,149D,67065,14191321,730,0,40,1,oa,475,,3,2006-11-04,18,226,2023-10-31,1,1,9,998,9
65861,65861,75047,2025-06-30,0,0,288,74,67063,15260441,610,0,40,2,rk,0,,1,1950-02-25,75,906,1985-04-15,40,3,9,998,9
22978,22978,164339,2025-06-30,0,0,1137,65,67061,12240121,120,0,40,1,oa,0,163.0,2,2024-11-21,0,9,2024-11-21,0,1,9,998,9
99269,99269,59389,2025-06-30,0,0,507,164,67069,22170451,520,0,40,2,so,0,,1,1957-11-04,67,814,1988-03-31,37,2,1,0,1
390,390,133297,2025-06-30,0,0,1002,83,67063,15140911,630,0,40,2,oa,0,163.0,2,2017-12-23,7,92,2017-12-23,7,1,9,998,9
18957,18957,140483,2025-06-30,0,0,1107,55,67065,51320511,220,0,40,2,oa,125,,3,1995-09-28,29,359,2019-10-01,5,1,9,998,9
33472,33472,83881,2025-06-30,0,0,129,16,67071,31480521,430,0,40,1,oa,0,163.0,2,1964-05-12,61,736,1997-04-30,28,2,2,163,2
102,102,124726,2025-06-30,0,0,1002,1,67063,15130711,620,0,40,2,rk,137,,3,1982-04-04,43,521,2021-01-01,4,1,9,998,9
176615,176615,166001,2025-06-30,0,0,965,36,67061,12220242,120,0,40,2,oa,461,,3,2000-01-23,25,307,2025-05-07,0,1,9,998,9
102340,102340,14990,2025-06-30,0,0,545,31,67067,52161141,230,0,40,1,ev,0,,1,1985-08-21,40,480,1992-02-01,33,2,2,998,9
146582,146582,38430,2025-06-30,0,0,791,82,67069,22120221,520,0,40,2,oa,0,232.0,2,1994-11-18,30,369,2025-02-01,0,1,9,998,9
47274,47274,14218,2025-06-30,0,0,182,26,67069,23440123,530,0,40,2,ev,0,,1,1956-03-22,69,833,1956-03-22,69,3,9,998,9
111922,111922,130589,2025-06-30,0,0,592,27,67067,42111115,320,0,40,2,ev,0,,1,1992-03-01,33,402,2016-03-01,9,2,1,0,1
133789,133789,31230,2025-06-30,0,0,722,230,67065,41230421,330,0,40,1,rk,0,,1,1966-11-04,58,706,1966-11-04,58,1,9,998,9
76787,76787,175449,2025-06-30,0,0,361,1,67063,13130211,720,0,40,2,oa,423,,3,1960-08-24,65,780,2023-06-01,2,5,9,998,9
176553,176553,7265,2025-06-30,0,0,965,35,67061,12230223,120,0,40,1,oa,163,,3,1975-04-02,50,605,2009-07-01,16,2,2,163,3
137361,137361,60083,2025-06-30,0,0,747,32,67071,31341235,430,0,40,1,so,0,,1,1959-03-29,66,797,2025-01-01,0,2,2,0,1
9524,9524,21870,2025-06-30,0,0,105,13,67063,15160711,620,0,40,1,rk,0,137.0,2,1986-09-27,38,467,1986-09-27,38,2,2,0,1
40134,40134,103460,2025-06-30,0,0,149,7,67063,13160321,710,0,40,1,oa,0,,1,2006-11-14,18,226,2009-11-23,15,1,9,998,9
119221,119221,169758,2025-06-30,0,0,636,63,67061,12350121,130,0,40,2,oa,437,,3,1984-12-03,40,489,2024-02-19,1,2,1,0,2
142113,142113,134819,2025-06-30,0,0,763,21,67067,52141611,230,0,40,2,oa,475,,3,2014-01-25,11,139,2019-02-01,6,5,9,998,9
29815,29815,162207,2025-06-30,0,0,118,43,67059,11160411,110,0,40,2,oa,125,,3,2001-09-11,24,288,2025-04-01,0,1,9,998,9
59822,59822,150386,2025-06-30,0,0,253,12,67067,41210631,330,0,40,2,oa,0,,1,1967-05-20,58,699,2021-03-20,4,1,9,998,9
78467,78467,119233,2025-06-30,0,0,368,26,67061,12130313,210,0,40,1,oa,0,,1,1997-06-09,28,339,2023-04-01,2,1,9,998,9
25174,25174,138413,2025-06-30,0,0,1146,19,67059,11130411,110,0,40,2,so,475,,3,2012-10-01,12,155,2019-08-14,6,1,9,998,9
11427,11427,118832,2025-06-30,0,0,1068,23,67061,12350421,130,0,40,1,rk,0,,1,1948-08-25,77,924,2018-03-21,7,9,9,998,9
116875,116875,62500,2025-06-30,0,0,618,72,67069,22160511,520,0,40,2,rk,0,,1,1969-10-13,55,671,1969-10-13,55,2,1,0,1
108870,108870,5847,2025-06-30,0,0,576,51,67065,51360512,220,0,40,2,rk,0,,1,1943-03-27,82,989,2025-01-01,0,1,9,998,9
132043,132043,69465,2025-06-30,0,0,712,22A,67067,52161011,230,0,40,2,rk,0,137.0,2,1980-07-21,45,541,1995-08-21,30,2,1,0,1
161158,161158,179320,2025-06-30,0,0,883,15,67061,12130821,210,0,40,1,oa,423,,3,1995-12-25,29,356,2024-07-16,1,5,9,998,9
11660,11660,159896,2025-06-30,0,0,106,32,67069,21240321,510,0,20,1,oa,0,,1,1991-01-14,34,416,2021-12-01,3,1,9,998,9
157006,157006,64493,2025-06-30,0,0,850,45,67063,13130321,710,0,40,2,rk,137,,3,1970-12-18,54,656,1999-02-10,26,4,9,998,9
80958,80958,28769,2025-06-30,0,0,385,77,67069,22161241,520,0,40,1,oa,154,,3,1977-05-28,48,579,2014-09-15,11,2,2,154,3
131924,131924,162870,2025-06-30,0,0,712,179D,67067,52161712,230,0,40,1,oa,0,,1,2017-08-10,8,97,2022-05-01,3,1,9,998,9
69136,69136,53609,2025-06-30,0,0,315,36,67071,31323021,430,0,40,1,rk,0,,1,1956-11-26,68,825,2025-01-01,0,2,2,0,1
76424,76424,69837,2025-06-30,0,0,357,89A,67071,35130511,440,0,40,1,oa,170,,3,1984-10-01,40,491,2022-07-01,3,2,2,170,3
153641,153641,74173,2025-06-30,0,0,839,19,67063,15220341,610,0,40,2,rk,137,,3,1950-05-13,75,904,1972-04-08,53,2,1,137,3
17648,17648,9259,2025-06-30,0,0,1102,43,67071,31322111,420,0,40,2,oa,0,,1,1953-11-03,71,862,1964-05-15,61,2,1,0,1
176558,176558,44387,2025-06-30,0,0,965,35,67061,12230223,120,0,40,2,oa,0,163.0,2,2006-10-23,18,226,2006-10-23,18,1,9,998,9
129390,129390,15379,2025-06-30,0,0,696,53,67063,15130311,620,0,40,1,ev,0,,1,1989-08-24,36,432,1989-08-24,36,1,9,998,9
111097,111097,40794,2025-06-30,0,0,589,41,67069,21221632,510,0,40,2,so,0,,1,1983-06-15,42,507,2003-03-05,22,2,1,163,2
162864,162864,10146,2025-06-30,0,0,890,41,67063,15141321,630,0,40,2,rk,0,,1,1949-06-11,76,915,2025-01-01,0,2,1,0,1
