Alter;Männer;Frauen
0;371800;352900
1;374500;355500
2;377200;358200
3;380000;361000
4;382900;363700
5;385800;366400
6;388400;368900
7;391300;371700
8;394400;374500
9;397500;377400
10;400500;380300
11;403600;383200
12;406600;386000
13;409600;388700
14;412500;391200
15;415400;393800
16;418600;396300
17;421400;398500
18;426100;402500
19;433000;408800
20;439000;415600
21;443800;421100
22;448200;425800
23;452700;431100
24;457000;435800
25;460600;440000
26;463800;443800
27;466700;447300
28;469400;450500
29;472000;453800
30;474700;457200
31;477600;461000
32;480800;464800
33;484100;468900
34;487500;473000
35;491200;477200
36;494900;481600
37;498800;486000
38;502500;490200
39;505600;494100
40;508300;497400
41;510500;500300
42;512200;502600
43;513500;504700
44;514400;506100
45;514600;507100
46;514400;507500
47;513500;507300
48;510600;504800
49;535600;528800
50;529000;521900
51;530200;525500
52;535200;531100
53;537100;533200
54;536500;535000
55;522400;519500
56;514600;513300
57;498000;497600
58;494200;494400
59;482300;484800
60;487600;491400
61;479300;483900
62;484300;491700
63;478600;486100
64;467600;476900
65;465700;478400
66;465500;482500
67;456300;480300
68;457300;481400
69;461700;483800
70;474300;495200
71;473800;487900
72;470000;490000
73;474900;496000
74;456500;483800
75;435400;465900
76;425000;460400
77;419900;462000
78;409300;457900
79;404800;459700
80;420800;481900
81;395300;463000
82;383500;456400
83;353900;430200
84;324100;406800
85;291700;375600
86;265800;352100
87;241100;329800
88;219700;309500
89;191300;281200
90;166700;254400
91;135300;214900
92;111600;184500
93;90400;156100
94;70600;128800
95;53600;102500
96;40900;83100
97;30300;65300
98;23600;53700
99;18100;44000
100 und mehr;35500;108600
